"nom","marque","pays","volume","titrage_final"
"Trinidad Distillers 2000 """"Millenium Reserve"""" 6 Years Old (Rare Single Cask)",Alambic Classique*,Allemagne,700,45
"Westerhall 1998 """"XO"""" 9 Years Old (Rare Single Cask)",Alambic Classique*,Allemagne,700,45
"Westerhall 1998 """"XO"""" 14 Years Old (Rare Single Cask)",Alambic Classique*,Allemagne,700,45
Austrian Empire Navy Rum - Reserva 1863,Albert Michler*,Angleterre,700,40
Austrian Empire Navy Rum - Solera 18,Albert Michler*,Angleterre,700,40
Austrian Empire Navy Rum - Solera 21,Albert Michler*,Angleterre,700,40
Austrian Empire Navy Rum - Solera 25,Albert Michler*,Angleterre,700,40
Mischler's Rum - 100% Fine Jamaican (Dark Rum),Albert Michler*,Angleterre,700,40
Trinidad - 9 Years (2009) - Fernandes,Kill Devil Rum,Ecosse,700,46
Trinidad - 13 Years (2003),Kill Devil Rum,Ecosse,700,46
Trinidad - 13 Years (2003) - Fullproof,Kill Devil Rum,Ecosse,700,63.1
Trinidad - 23 Years (1991) - TDL,Kill Devil Rum,Ecosse,700,46
Trinidad - 24 Years (1991) - TDL,Kill Devil Rum,Ecosse,700,46
Trinidad Caroni - 17 Years (1998),Kill Devil Rum,Ecosse,700,63.1
"Trinidad Caroni - 18 Years (1998) - 63,2°",Kill Devil Rum,Ecosse,700,63.2
"Trinidad Caroni - 18 Years (1998) - 65,5° #1",Kill Devil Rum,Ecosse,700,65.5
"Trinidad Caroni - 18 Years (1998) - 65,5° #2",Kill Devil Rum,Ecosse,700,65.5
Trinidad Caroni - 20 Years (1998),Kill Devil Rum,Ecosse,700,46
Venezuela C.A.C.S.A. - 14 Years (2004),Kill Devil Rum,Ecosse,700,46
Demerara Rum Pot Still (1990),Kingsbury*,Ecosse,700,
Single Cask Demerara Rum (1974),Kingsbury*,Ecosse,700,65.7
Rhum Vieux Jamaïcain (Long Pond & Clarendon),Kingspom*,,500,43.2
C.A.D.C. Venezuela - Cask #7,Kintra Whisky*,Pays-Bas,700,53.8
Caroni 19Y - 1998-2017 - Cask #6,Kintra Whisky*,Pays-Bas,700,55.1
Caroni - 1999-2013,Kintra Whisky*,Pays-Bas,700,56
Diamond 13Y,Kintra Whisky*,Pays-Bas,700,53.1
Enmore 27Y - 1990-2017 - Cask #34,Kintra Whisky*,Pays-Bas,700,53.7
Enmore 27Y,Kintra Whisky*,Pays-Bas,700,55.7
Flor De Caña 18Y - 1999-2017 - Cask #48,Kintra Whisky*,Pays-Bas,700,56.5
Foursquare 12Y,Kintra Whisky*,Pays-Bas,700,56.5
Foursquare 12Y - 2006-2018 - Cask #118,Kintra Whisky*,Pays-Bas,700,63.3
Hampden 8Y,Kintra Whisky*,Pays-Bas,700,56.5
Monymusk 11Y,Kintra Whisky*,Pays-Bas,700,52.5
Monymusk 11Y - 2007-2018 - Cask #85,Kintra Whisky*,Pays-Bas,700,52.2
Monymusk 14Y,Kintra Whisky*,Pays-Bas,700,56.2
Mount Gay 18Y - Confidential Cask #1,Kintra Whisky*,Pays-Bas,700,55.6
Port Mourant 12Y,Kintra Whisky*,Pays-Bas,700,63.3
Port Mourant 12Y - 2005-2018 - Cask #96,Kintra Whisky*,Pays-Bas,700,55.9
The Taylor of Panama - 13Y,Kintra Whisky*,Pays-Bas,700,59.3
Travellers 9Y - 2007-2017 - Cask #44,Kintra Whisky*,Pays-Bas,700,66.4
N°1 - 2004 Single Barrel,La Casa Del Rum*,Italie,700,47.2
N°2 - Barbados (Over Proof Rum),La Casa Del Rum*,Italie,700,65
"N°3 - Nicaragua, Trinidad, Guatemala ",La Casa Del Rum*,Italie,700,50
"N°4 - Jamaica, Barbados, Trinidad",La Casa Del Rum*,Italie,700,40
"St Quentin - Martinique, Jamaica, Barbados, Trinidad",La Casa Del Rum*,Italie,700,40
St Quentin Unaged (Martinique - La Favorite),La Casa Del Rum*,Italie,700,42
Batch #2 - Guatemala (Botran),La Maison Du Rhum*,France,700,55
Batch #2 - Ile Maurice (Chamarel),La Maison Du Rhum*,France,700,43
Batch #2 - Madagascar (Dzama),La Maison Du Rhum*,France,700,42
Batch #2 - Pérou (Millonario),La Maison Du Rhum*,France,700,45
Batch #2 - Réunion (Rivière du Mât),La Maison Du Rhum*,France,700,45
Batch #2 - Sainte Lucie (St Lucia Distillers),La Maison Du Rhum*,France,700,45
Batch #2 - Trinidad & Tobago (Angostura),La Maison Du Rhum*,France,700,44
Batch #2 - Venezuela (Diplomatico),La Maison Du Rhum*,France,700,47
Batch #3 - Colombie (Hacienda Coloma),La Maison Du Rhum*,France,700,46
Batch #3 - El Salvador (Finish Fino),La Maison Du Rhum*,France,700,40
Batch #3 - El Salvador (Finish Château Pape Clément),La Maison Du Rhum*,France,700,40
Batch #3 - Guadeloupe (Séverin),La Maison Du Rhum*,France,700,
Batch #3 - Ile Maurice (Chamarel),La Maison Du Rhum*,France,700,45
Batch #3 - Martinique (Maison La Mauny),La Maison Du Rhum*,France,700,42
Batch #3 - Panama,La Maison Du Rhum*,France,700,45
Batch #3 - Paraguay,La Maison Du Rhum*,France,700,45
Batch #3 - Pérou (Millonario),La Maison Du Rhum*,France,700,48
Batch #3 - Réunion (Rivière du Mât),La Maison Du Rhum*,France,700,45
Batch #3 - Sainte Lucie (St Lucia Distillers),La Maison Du Rhum*,France,700,45
Batch #3 - Trinidad & Tobago (Angostura),La Maison Du Rhum*,France,700,50
Batch #3 - Venezuela (Diplomatico),La Maison Du Rhum*,France,700,42
Rhum Grand Arôme de la Baie du Galion,Latitudes*,France,700,60
"Demerara 2002 - Guyana (Full Proof) - 66,9°",Le Gus't*,France,700,66.9
"Demerara 2002 - Guyana (Optimum Proof) - 60,4°",Le Gus't*,France,700,60.4
Demerara 2002 - Guyana (Optimum Proof) - Cask #144 (Caroni),Le Gus't*,France,700,61.6
Demerara 2002 - Guyana (Version Réduite 46°) - Cask #144 (Caroni),Le Gus't*,France,700,46
"Demerara 2002 - Guyana (Full  Proof) - """"Marrons de la Liberté"""" - Cask #147",Le Gus't*,France,700,65.7
"Demerara 2002 - Guyana (Optimum Proof) - """"Marrons de la Liberté"""" - Cask #147",Le Gus't*,France,700,58.8
Uitvlugt 2007 - Demerara (Full Proof) - Cask #7242,Le Gus't*,France,700,74.1
Uitvlugt 2007 - Demerara (High Proof) - Cask #7242,Le Gus't*,France,700,50
Demerara 151 (Diamond),Lemon Hart & Son*,Angleterre,700,75.5
Demerara Original,Lemon Hart & Son*,Angleterre,700,40
Demerara Navy Spiced,Lemon Hart & Son*,Angleterre,700,43
Finest Golden Rum,Lemon Hart & Son*,Angleterre,700,
Golden Jamaica,Lemon Hart & Son*,Angleterre,700,35
Jamaica,Lemon Hart & Son*,Angleterre,700,73
Jamaican Rum 30 Years Old (Bouteille Triangulaire),Lemon Hart & Son*,Angleterre,700,43
Superior,Lemon Hart & Son*,Angleterre,700,37.5
Barbados Foursquare 11 Years (Tawny Finish),Les Frères de La Côte*,Pays-Bas,700,63.3
Barbados Foursquare 11 Years (Tawny Finish 2005),Les Frères de La Côte*,Pays-Bas,700,62.4
Bielle Brut de Fût 2011 (7 ans),Les Frères de La Côte*,Pays-Bas,700,53.9
Fût Unique,Le Sot de l'Ange*,France,700,44.5
Fût Unique n°2 (Cask #4),Le Sot de l'Ange*,France,700,47
Rhum Agricole de Marie-Galante (Bielle) - Cask #1,Le Sot de l'Ange*,France,700,40
Hampden Aged 8 Years - DOK,Letter of Marque*,,500,66.4
Caroni 1997,Liquid Art*,Belgique,700,50.5
Diamond 2003,Liquid Art*,Belgique,700,51.1
Barbancourt 13 Years Old 2004-2017,Liquid Treasures*,Allemagne,700,54.6
Beenleigh Australian Rum,Liquoriste*,France,700,46
Exotics Blended Rum,Liquoriste*,France,700,43
Foursquare Blend,Liquoriste*,France,700,46
Hampden Jamaican Rum (PX),Liquoriste*,France,700,65
Martinique Agricole Rum,Liquoriste*,France,700,55
Single Estate Fiji Rum,Liquoriste*,France,700,45
Single Estate Guatemala Ron,Liquoriste*,France,700,46
Single Estate Jamaica Rum (Amontillado),Liquoriste*,France,700,65
Single Estate Jamaica Rum (Bourbon Cask),Liquoriste*,France,700,65
Single Estate Jamaica Rum (Brandy),Liquoriste*,France,700,65
Colonial American Inspired Rum,Lost Spirits*,USA (Californie),700,62
Cuban Inspired Rum,Lost Spirits*,USA (Californie),700,75.5
Navy Style Rum (55°),Lost Spirits*,USA (Californie),700,55
Navy Style Rum (57°),Lost Spirits*,USA (Californie),700,57
Navy Style Rum (61°),Lost Spirits*,USA (Californie),700,61
Navy Style Rum (68°),Lost Spirits*,USA (Californie),700,68
Polynesian Inspired Rum,Lost Spirits*,USA (Californie),700,66
Jamaica 1992 (15th Anniversary 1996-2011) - Long Pond (45°),Mac Y*,Danemark,700,45
Bélize Don Tito Millésime 2006,Maison Chollet*,France,700,45.6
Panama Don Tito Millésime 2006,Maison Chollet*,France,700,43.8
Blended Rum - Barbados 8Y - Dominicain Republic 5Y - Jamaïca 3Y,Maman Brigitte*,Belgique,700,43
Mischler's Rum - Jamaica & Trinidad,Albert Michler*,Angleterre,700,40
Mischler's Rum - Overproof,Albert Michler*,Angleterre,700,63
Alnwick Rum - Spirit of Northumberland,Alnwick*,Angleterre,700,43
Fine Old Vatted Rum - Empire Produce,Alnwick*,Angleterre,700,35
Golden Spiced Rum,Alnwick*,Angleterre,700,40
The Legendary Alnwick Rum,Alnwick*,Angleterre,700,43
White Knight Rum,Alnwick*,Angleterre,700,37.5
Barbados Foursquare - 13 Years,Anam Na H-Alba*,Allemagne,700,63.9
Guyana - Ten Years,Anam Na H-Alba*,Allemagne,700,66.6
"10 Year Old Navy Rum (Diamond)",Ancient Mariner*,Angleterre,700,54
Fijian 9 Ans,Berry Bros & Rudd*,Angleterre,700,46
"16 Year Old Navy Rum (Caroni)",Ancient Mariner*,Angleterre,700,54
Navy Rum (Caroni),Ancient Mariner*,Angleterre,700,54
N°1 - Panama,Arnisser*,Allemagne,700,54.2
N°2 - Guatemala,Arnisser*,Allemagne,700,59.8
N°3 - Bélize,Arnisser*,Allemagne,700,69.1
N°4 - Barbados,Arnisser*,Allemagne,700,66.1
N°5 - Guyana,Arnisser*,Allemagne,700,65.5
N°6 - Trinidad,Arnisser*,Allemagne,700,75.5
N°7 - Jamaica,Arnisser*,Allemagne,700,46
Infinity Overproof (Worthy Park),AuRhum*,,700,
Alcoholes Finos Dominicanos 8 Ans,Bapt & Clems*,France,700,45
Foursquare 5 Ans,Bapt & Clems*,France,700,43
Oliver & Oliver 18 Ans Solera,Bapt & Clems*,France,700,43
Oxenham 4 Ans,Bapt & Clems*,France,700,45
Reimonenq Millésime 1999,Bapt & Clems*,France,700,41
Reimonenq Millésime 2009,Bapt & Clems*,France,700,46
Savanna 12 Ans,Bapt & Clems*,France,700,45
Travellers 4 Ans,Bapt & Clems*,France,700,47
Barbade 2011-2019 (Foursquare),Barikenn*,France,700,54.4
Guyana 2012-2020 (Diamond),Barikenn*,France,700,58.9
Jamaica 2010-2019 (Worthy Park),Barikenn*,France,700,55
Barrell Rum - Tales of Two Islands,Barrel Craft Spirits*,USA (Kentucky),700,66.4
Bach 001,Barrel Craft Spirits*,USA (Kentucky),700,67.36
Private Release,Barrel Craft Spirits*,USA (Kentucky),700,64.52
Rum (13 yo),Barrel Craft Spirits*,USA (Kentucky),700,62.1
Foursquare 2005 (13 Yo) - Cask #MRC 3411,Beek*,Pays-Bas,700,51.4
Rum Quality Blend,Beek*,Pays-Bas,700,46
B13 Rum - 13 Years,Bentley Rum*,Allemagne,700,40
Barbados 1986 (Finest Bajan Rum) - West Indies,Berry Bros & Rudd*,Angleterre,700,46
Caroni Trinidad 19 Years - 1997-2016,Berry Bros & Rudd*,Angleterre,700,46
Demerara Enmore 1988,Berry Bros & Rudd*,Angleterre,700,46
Demerara Port Mourant 1992 (Uitvlugt),Berry Bros & Rudd*,Angleterre,700,46
Demerara Versailles 1985 (Enmore),Berry Bros & Rudd*,Angleterre,700,46
Rhum (Beenleigh 2015-2019),& Fine Spirits*,France,500,57.18
Fijian 9 Ans (Millésime 2001),Berry Bros & Rudd*,Angleterre,700,64
Fijian 11 Ans (Millésime 2003),Berry Bros & Rudd*,Angleterre,700,46
Grenada 7 Ans (Millésime 2003),Berry Bros & Rudd*,Angleterre,700,46
Grenada 13 Ans,Berry Bros & Rudd*,Angleterre,700,46
Guadeloupe Rum 16 Ans (Millésime 1998),Berry Bros & Rudd*,Angleterre,700,46
Guadeloupe Rum 18 Ans (Millésime 1998),Berry Bros & Rudd*,Angleterre,700,46
Guyana Rum 13 Ans - Cask #31 (Kirsch Whisky),Berry Bros & Rudd*,Angleterre,700,62
Guyana Rum 16 Ans - Cask #63 (Diamond),Berry Bros & Rudd*,Angleterre,700,47.7
Guyana Rum 24 Ans (Millésime 1991) - Cask #02/V64-7 (Diamond),Berry Bros & Rudd*,Angleterre,700,46
Jamaican Rum 27 Years (Millésime 1977) ,Berry Bros & Rudd*,Angleterre,700,46
"Jamaican Rum """"Overproof"""" (Millésime 1977) - Cask #23",Berry Bros & Rudd*,Angleterre,700,60.3
Jamaican Rum (Millésime 1982) ,Berry Bros & Rudd*,Angleterre,700,57
Jamaican Rum (Millésime 1986) - Long Pond,Berry Bros & Rudd*,Angleterre,700,46
Jamaican Rum Monymusk Estate (Millésime 2003),Berry Bros & Rudd*,Angleterre,700,55.4
Nicaraguan (Millésime 1999),Berry Bros & Rudd*,Angleterre,700,46
Nicaraguan (Millésime 2000),Berry Bros & Rudd*,Angleterre,700,46
Nicaraguan (Millésime 2002),Berry Bros & Rudd*,Angleterre,700,46
St. Lucia Rum 14 Ans (Millésime 2000),Berry Bros & Rudd*,Angleterre,700,46
St. Lucia Rum 14 Ans - The Nectar,Berry Bros & Rudd*,Angleterre,700,52.5
St. Lucia Rum 16 Ans (Millésime 2000),Berry Bros & Rudd*,Angleterre,700,46
The Classic Range - Barbados Rum,Berry Bros & Rudd*,Angleterre,700,40.5
The Classic Range - Guatemala Rum,Berry Bros & Rudd*,Angleterre,700,40.5
The Classic Range - Jamaica Rum,Berry Bros & Rudd*,Angleterre,700,40.5
The Classic Range - Nicaragua Rum,Berry Bros & Rudd*,Angleterre,700,40.5
Circée - Black Spiced Rum,Bigallet*,France,700,40
Original,Bozkov (Tuzemsky)*,République Tchèque,700,
Bielle - Cuvée 2009 (Brut de Fût #54),La Confrérie du Rhum*,France,700,51.9
Guyana 1997-2016 (Cask #13) - Uitvlugt,Duncan Taylor*,Ecosse,700,53.5
A Panama Distillery 2004 (Cask #BB 44) - Cask Strength,L'Esprit*,France,700,61.4
Travellers 2005  (Cask #BB  27) - Cask Strength,L'Esprit*,France,700,67
Batch #2 - Martinique (Maison La Mauny),La Maison Du Rhum*,France,700,42
Batch #1 - Colombie (Hacienda Coloma),La Maison Du Rhum*,France,700,46
Batch #2 - République Dominicaine,La Maison Du Rhum*,France,700,42
Bielle 2005-2011,Comptoir Des Caraïbes*,France,700,50
"La Tour De L'Or - Bielle (57,4°)",Chantal Comte*,France,700,57.4
Drink It Zipp It (Caroni),Corman Collins Rhums*,Belgique,700,61
Influences n°1 - Trinidad-Jamaique,Famille Ricci*,France,700,46
Finest Old Demerara Rum - Port Mourant 1974 (Uitvlugt),Bristol Classic Rum*,Angleterre,700,46
Boulet de Canon n°1,Compagnie Des Indes*,France,700,46
Caraïbes,Compagnie Des Indes*,France,700,40
Caraïbes (Edition de Noël),Compagnie Des Indes*,France,700,40
Guyana 18 Ans - Cask #MGA4 - 1997 (Uitvlugt),Compagnie Des Indes*,France,700,45
Jamaica 5 Ans,Compagnie Des Indes*,France,700,43
Jamaica 5 Ans - Edition Le Calbar,Compagnie Des Indes*,France,700,43
Jamaica 5 Ans - Hyperboissons,Compagnie Des Indes*,France,700,43
Latino 5 Ans,Compagnie Des Indes*,France,700,40
Dynasty,Famille Ricci*,France,700,40
Turquoise Bay - Mauritus Reserve Amber Rum,Island Signature*,France,700,40
"Enmore Distillery, Demerara 1988",Caribbean Reserve*,Ecosse,700,46
Guyana 1990 (Enmore),Caribbean Reserve*,Ecosse,700,46
Jamaica 1992 (Hampden),Caribbean Reserve*,Ecosse,700,46
Panama 1997 (Don José),Caribbean Reserve*,Ecosse,700,46
"Pampero Distillery, Trinidad 1992",Caribbean Reserve*,Ecosse,700,46
"Port Mourant Distillery, Demerara 1989 (Uitvlugt)",Caribbean Reserve*,Ecosse,700,46
Port Morant Distillery 1990 (Uitvlugt),Caribbean Reserve*,Ecosse,700,46
"Providence Distillery, Trinidad - Aged 10 Years",Caribbean Reserve*,Ecosse,700,46
Venezuela 1992,Caribbean Reserve*,Ecosse,700,46
Caroni 1997-2019,Caroni Rom Dansk Fanklub*,Danemark,500,61.1
Caroni 1998-2020 (With Rum Artesanal),Caroni Rom Dansk Fanklub*,Danemark,500,68.9
Barbados 15 Years West Indies 2000-2015,Cave Guildive*,Suisse,700,54
Barbados 17 Years West Indies 2000-2017,Cave Guildive*,Suisse,700,56
Demerara 10 Years Port Mourant 2005-2015,Cave Guildive*,Suisse,700,55
Demerara 25 Years Enmore 1990-2015,Cave Guildive*,Suisse,700,56
Dominican Republic 13 Years (Double Wine Cask),Cave Guildive*,Suisse,700,49
Fiji 15 Years South Pacific 2001-2016,Cave Guildive*,Suisse,700,58
Jamaica 12 Years New Yarmouth 2005-2017,Cave Guildive*,Suisse,700,68
Jamaica 23 Years Hampden 1993-2016,Cave Guildive*,Suisse,700,61
Marie-Galante 9 Years Bielle 2008-2017,Cave Guildive*,Suisse,700,55
Nicaragua 13 Years 2004-2017,Cave Guildive*,Suisse,700,66
Nicaragua 15 Years 2000-2015,Cave Guildive*,Suisse,700,56
Panama 11 Years 2006-2017 (Cask #79),Cave Guildive*,Suisse,700,60
L'Arbre du Voyageur - Brut de Cuves (La Mauny),Chantal Comte*,France,700,60.2
L'Arbre du Voyageur - 1998 (La Favorite),Chantal Comte*,France,700,40
L'Arbre du Voyageur - 2001 - La Favorite),Chantal Comte*,France,700,45.5
L'Arbre du Voyageur - 2001 (Non Filtré) - La Favorite,Chantal Comte*,France,700,45.5
L'Arbre du Voyageur - 3 Ans d'Age (La Mauny),Chantal Comte*,France,700,53.5
L'Arbre du Voyageur - 5 Ans d'Age (Depaz),Chantal Comte*,France,700,45
L'Arbre du Voyageur - VSOP (Depaz),Chantal Comte*,France,700,45
Trinidad 1991-2017 (Cask #2466) - TDL,Duncan Taylor*,Ecosse,700,52.1
Trinidad 1991-2012 (Cask #2467) - TDL,Duncan Taylor*,Ecosse,700,54.8
Trinidad 1997-2014 (Cask #49) - Caroni,Duncan Taylor*,Ecosse,700,56.4
Trinidad 1997-2014 (Cask #110) - Caroni,Duncan Taylor*,Ecosse,700,53.8
Trinidad 1997-2014 (Cask #115) - Caroni,Duncan Taylor*,Ecosse,700,55.4
Trinidad 1997-2015 (Cask #854) - Caroni,Duncan Taylor*,Ecosse,700,52.5
Aged & Geeky (AG),EKTE*,Danemark,700,43
Dark & Aged (DA),EKTE*,Danemark,700,38
Light & Dry (LD),EKTE*,Danemark,700,43
N°1 - Panama 11 Ans,EKTE*,Danemark,700,63.1
N°2 - Jamaica 12 Ans (Monymusk),EKTE*,Danemark,700,60
N°3 - Nicaragua 15 Ans,EKTE*,Danemark,700,68.6
N°4 - Jamaica 15 Ans (Long Pond),EKTE*,Danemark,700,61.4
N°5 - Guyana 17 Ans (Uitvlugt),EKTE*,Danemark,700,62.8
El Matcho (Hampden),El Matcho*,Belgique,500,40
Batch #1 - Guadeloupe (Damoiseau),La Maison Du Rhum*,France,700,42
Batch #1 - Guatemala (Botran),La Maison Du Rhum*,France,700,45
Batch #1 - Martinique (Maison La Mauny),La Maison Du Rhum*,France,700,45
Batch #1 - Pérou (Millonario),La Maison Du Rhum*,France,700,48
Batch #1 - Réunion (Rivière du Mât),La Maison Du Rhum*,France,700,45
Batch #1 - Sainte Lucie (St Lucia Distillers),La Maison Du Rhum*,France,700,45
Batch #1 - Trinidad & Tobago (Angostura),La Maison Du Rhum*,France,700,43
Batch #1 - Venezuela (Diplomatico),La Maison Du Rhum*,France,700,47
Batch #2 - Colombie (Hacienda Coloma),La Maison Du Rhum*,France,700,46
Rhum Vieux Jamaique 3 Ans,Le Puits A Whisky*,France,700,40
Jamaica 1992 (15th Anniversary 1996-2011) - Long Pond (63°),Mac Y*,Danemark,700,63
Jamaique 2007 (Monymusk),Ferroni*,France,500,64.5
Darsa 2007 (Cask #BB 14) - Cask Strength,L'Esprit*,France,700,59.6
